fingerprint,delay,variance,times
0BB33B60FAED4D8094E73243849BCAF2F2313177,0.0819252,8.42E-06,1
0BC31B9A05EFC7589339452F6475AF92A5581410,0.34424236,0.015361391,10
0BC8BA32CC3CB0F598E0C92778F7C0946DFBCE91,0.1670288,0.000956382,1
0BCF44815640655715ACF98E6118903D436C5F42,0.364710067,0.003914779,3
0BDB3ABBF0A72A03FC27774D464E5FCC534B6E08,0.293541862,0.007401869,13
0BF606DE836D4C794CAFF7CA78720F8C87660998,0.495917,0.00959628,1
0BF6B13D2D3FDBEAB1E3709032FBA6A90A7A351B,0.301750653,0.006856968,15
0C10D68636233899084A64C141C6081D1FCC75B1,0.343424347,0.018432391,34
0C120A11C62E96D8D51128936B8726FAA1C640CF,0.463146,0.003964716,4
0C15FFFA0B307259E7F28F1821550C243752BC77,0.2502995,0.006181503,6
0C1A1C8573A6E693AFCD5A1CA363638D2455EDDE,0.392814871,0.017218865,14
0C20F273FB538122B21A636EC1FFE99176517BD8,0.338693725,0.006987312,8
0C29F124061426A5826372D2EA1124CDADD812FB,0.280690884,0.005642772,19
0C36AE99B744E32088C9ED23D7A31F8D23AE1A58,0.355833892,0.032934194,24
0C3D5E19E3C75B505C8ACD26F89DCA2DF970553E,0.337800267,0.010194529,33
0C457EAC11A2056D458D8B28F1E23449468E900C,0.252475267,0.008036348,3
0C475BA4D3AA3C289B716F95954CAD616E50C4E5,0.250957886,0.005452545,7
0C4F1583423B58DE05BF8261429F05639FE2C5A3,0.3340776,3.65E-05,1
0C6629CD7AC1CD6C336A9006EB21C37E4C587E37,0.5644482,0.001964674,1
0C711E6B46647C17998262CB86F18B54B8A187DD,0.313090944,0.005074598,18
0C741818F254073AF5A3D9F6F31D2A69CEC610EF,0.331538333,0.004749629,12
0C9B19A53406AEF82E3DB994947D49553A1634B0,0.2109218,1.59E-05,1
0C9B3C686421C5A8C20BAA0D7369CD929F43A174,0.4512408,0.007759083,3
0CA1B6BC906E5DD6F4CFE322B4BEFE7A17D42D52,0.226411776,0.002980451,17
0CA3F4D95BCF24964FC4623588A3F17E2EE216DE,0.287117843,0.005045939,28
0CAA2E9044A86B11915C413B5A0911DF29E9A1AC,0.237295081,0.004475266,47
0CABED9159F1E4BE82879F5A34ED8D7349E931BD,0.3231974,0.007815791,9
0CD666F9C9A40A8CFB1E6B9465597A51D3A1CBF8,0.137504286,0.000628138,7
0CDA36F9470E72A5392E9A5A245FBB18342CEEF4,0.255443855,0.004164244,11
0CDCFB0B6E1500E57BDD7F240543EBAEF81C11CA,0.328963176,0.043832295,17
0CE59DBA1A9A747A428C711892AC093BBA34C38E,0.295391075,0.004212878,16
0CE7BCC29DD33138ED8CED6C034A91DD4B70AEA3,0.322962933,0.004562413,6
0CEB1498597782C97BD87B049E6C9C056CD3345C,0.471993467,0.005268063,6
0CF48696F004482C445D875BE376A58E3D660497,0.276631714,0.010467939,7
0CF9E59BAC26D045DFF898EDF4266B7209BD6011,0.123051,0.007947645,1
0D12D8E72DED99EE31BB0C57789352BED0CEEEFF,0.268104583,0.012565026,23
0D12E48CBF8318F3E183A1BB8F78C94601BA2FEF,0.3566526,0.015760082,4
0D2D4B1D27468806BB1EDFB02715EEE91E1AB94E,0.283783723,0.005628636,13
0D39909B37AAC2BC742305EE72DF1F0FD187D4EE,0.385501782,0.059911223,22
0D45D7CEFF9405A8FDC919F138BD9D7FCA1AB103,0.2783518,0.003527375,3
0D5241E79F62BFD507F6CC2E18674B84D089FC53,0.0683924,9.17E-06,1
0D57694523D3D45D9C2CE89995047495317D57BE,0.32357692,0.010200533,5
0D6A6F948FDBD8BBE8D4EC8FED9471C52289FFCE,0.423070746,0.008143758,26
0D6CD875B60B762F4F65F8685BD0E39F9886340F,0.309008564,0.003587759,22
0D7661A33EB9CA44BEC3109DBEC7F9C5E8ABFB02,0.155481767,0.027880296,6
0D836533BDC08E4F07A197197C3199E3BC90A81B,0.104136,6.54E-05,1
0D967EACE42448A08E244366DF753BBFF611EB37,0.3652243,0.005705698,6
0D99D243BEFBBEBC8673437CE3C1B0EFF539131D,0.433752183,0.030346804,23
0D9A4CFB8308376B6B9CEF7CC3ED1F083C279E71,0.29008111,0.005011947,31
0D9E602F68E4525AE902CCF0025D45EB8D7F61C0,0.223919288,0.009056023,16
0DAA5C600C002857C28971977345F93013E924D9,0.2289396,0.001294196,3
0DB28B5D5F467F00270750231D2C0F8129811599,0.247994956,0.005858524,9
0DB4B91C526F163F480A394DACD8846BF9875A67,0.1293878,3.18E-06,1
0DBF3D7FDC4899AF56113BCF7FF3E5FAFD95CCEC,0.29945915,0.013618946,4
0DC16FEAA5A5E27A974009CBF7748BB6FAAE6DE1,0.295423226,0.016401458,38
0DCE68AA698588DB21F54CD3C6A5873202EABE22,0.078319467,0.001157744,9
0DD04EF0B081BBFDE3082D4ECC8A63FD0022FCAF,0.1045498,0.000112899,1
0DE135A4D0ECCB5D57F8B71BF8E22958FC4146A7,0.46914965,0.018422453,12
0DF02FE5046A067DA14A293F4DA6B631F4948ED3,0.1051676,0.00025925,1
0E20E3BFB1BDC3422E568403E37C00249D9BA901,0.293920683,0.008179447,12
0E29222CA653CE4F94FDBF8DF16D2597D473EC74,0.285358964,0.006433803,28
0E2F20AA0DBC87C255640E0F4F415B14694DF7A5,0.210477646,0.006060874,13
0E2FF5BF873DF2FDBABE42DBF042D350DE794F15,0.2617546,0.000553684,1
0E31308D10C42F8EA75CBC2A84F9D2FB416A8984,0.4762746,0.037508241,3
0E4BC4584C1D3B79139622A4E7136EC058FC7A48,0.28264585,0.005152495,8
